split,relative_path,label_path,observation_id,photo_id,confidence,box_count,source_url,mode
train,train/images/obs854f56ac-edb3-42e6-ae20-1f1cbba6c42d_photo390763359_000806.jpg,train/labels/obs854f56ac-edb3-42e6-ae20-1f1cbba6c42d_photo390763359_000806.txt,854f56ac-edb3-42e6-ae20-1f1cbba6c42d,390763359,0.4426,1,https://static.inaturalist.org/photos/390763359/large.jpg,bbox
train,train/images/obs6b3938af-90c9-4059-8be0-d4d377b5fd5e_photo633980414_000140.jpg,train/labels/obs6b3938af-90c9-4059-8be0-d4d377b5fd5e_photo633980414_000140.txt,6b3938af-90c9-4059-8be0-d4d377b5fd5e,633980414,0.7005,6,https://inaturalist-open-data.s3.amazonaws.com/photos/633980414/large.jpg,bbox
train,train/images/obs3e5afcd4-20e0-4243-9d95-fe6f1adefb29_photo382174678_000826.jpg,train/labels/obs3e5afcd4-20e0-4243-9d95-fe6f1adefb29_photo382174678_000826.txt,3e5afcd4-20e0-4243-9d95-fe6f1adefb29,382174678,0.4931,5,https://inaturalist-open-data.s3.amazonaws.com/photos/382174678/large.jpg,bbox
train,train/images/obs0819c210-5b97-4880-9431-92e1534afa25_photo658414286_000003.jpg,train/labels/obs0819c210-5b97-4880-9431-92e1534afa25_photo658414286_000003.txt,0819c210-5b97-4880-9431-92e1534afa25,658414286,0.9056,8,https://inaturalist-open-data.s3.amazonaws.com/photos/658414286/large.jpg,bbox
train,train/images/obsf2b6791f-f427-4ce8-ad8e-9bdab475ceea_photo606190948_000223.jpg,train/labels/obsf2b6791f-f427-4ce8-ad8e-9bdab475ceea_photo606190948_000223.txt,f2b6791f-f427-4ce8-ad8e-9bdab475ceea,606190948,0.6371,3,https://inaturalist-open-data.s3.amazonaws.com/photos/606190948/large.jpg,bbox
train,train/images/obs881046ac-8d79-4354-8d38-81cddce1a8f4_photo372954380_000856.jpg,train/labels/obs881046ac-8d79-4354-8d38-81cddce1a8f4_photo372954380_000856.txt,881046ac-8d79-4354-8d38-81cddce1a8f4,372954380,0.3453,1,https://inaturalist-open-data.s3.amazonaws.com/photos/372954380/large.jpg,bbox
train,train/images/obs15ee8b55-de9f-4d65-b2b3-851ac94be2b7_photo495075206_000483.jpg,train/labels/obs15ee8b55-de9f-4d65-b2b3-851ac94be2b7_photo495075206_000483.txt,15ee8b55-de9f-4d65-b2b3-851ac94be2b7,495075206,0.6609,5,https://static.inaturalist.org/photos/495075206/large.jpeg,bbox
train,train/images/obsa1c69c1c-ae71-440d-a973-d79c1bf3a32d_photo469513435_000645.jpg,train/labels/obsa1c69c1c-ae71-440d-a973-d79c1bf3a32d_photo469513435_000645.txt,a1c69c1c-ae71-440d-a973-d79c1bf3a32d,469513435,0.4119,1,https://inaturalist-open-data.s3.amazonaws.com/photos/469513435/large.jpg,bbox
train,train/images/obsc7be64e2-862f-408d-8d5c-be87bba11187_photo599205814_000253.jpg,train/labels/obsc7be64e2-862f-408d-8d5c-be87bba11187_photo599205814_000253.txt,c7be64e2-862f-408d-8d5c-be87bba11187,599205814,0.3126,1,https://inaturalist-open-data.s3.amazonaws.com/photos/599205814/large.jpg,bbox
train,train/images/obsc794683f-a7b6-41f5-a365-5bfc34d067f0_photo439265478_000744.jpg,train/labels/obsc794683f-a7b6-41f5-a365-5bfc34d067f0_photo439265478_000744.txt,c794683f-a7b6-41f5-a365-5bfc34d067f0,439265478,0.4975,1,https://inaturalist-open-data.s3.amazonaws.com/photos/439265478/large.jpeg,bbox
